probe,group1,group2,p_value
220090_at,CIN1,CIN2,1.0
220090_at,CIN1,CIN3,0.14747017862566542
220090_at,CIN1,Cancer,5.142036748422145e-06
220090_at,CIN1,Normal,1.0
220090_at,CIN2,CIN3,0.12628818696927674
220090_at,CIN2,Cancer,5.499230645167964e-07
220090_at,CIN2,Normal,1.0
220090_at,CIN3,Cancer,0.003222092062755826
220090_at,CIN3,Normal,0.013048276867740108
220090_at,Cancer,Normal,6.828572070993348e-09
226067_at,CIN1,CIN2,1.0
226067_at,CIN1,CIN3,1.0
226067_at,CIN1,Cancer,0.1359394744824674
226067_at,CIN1,Normal,1.0
226067_at,CIN2,CIN3,1.0
226067_at,CIN2,Cancer,0.0004512564238256173
226067_at,CIN2,Normal,1.0
226067_at,CIN3,Cancer,9.029750455412708e-05
226067_at,CIN3,Normal,1.0
226067_at,Cancer,Normal,0.00374476906226398
205900_at,CIN1,CIN2,1.0
205900_at,CIN1,CIN3,1.0
205900_at,CIN1,Cancer,0.04328973186069343
205900_at,CIN1,Normal,1.0
205900_at,CIN2,CIN3,1.0
205900_at,CIN2,Cancer,0.00863909380646845
205900_at,CIN2,Normal,1.0
205900_at,CIN3,Cancer,0.06669636765328527
205900_at,CIN3,Normal,1.0
205900_at,Cancer,Normal,0.001100847476508894
230835_at,CIN1,CIN2,1.0
230835_at,CIN1,CIN3,0.7442039928871487
230835_at,CIN1,Cancer,0.0015518952781689926
230835_at,CIN1,Normal,1.0
230835_at,CIN2,CIN3,1.0
230835_at,CIN2,Cancer,0.012862904926158778
230835_at,CIN2,Normal,1.0
230835_at,CIN3,Cancer,0.05493160899708348
230835_at,CIN3,Normal,1.0
230835_at,Cancer,Normal,0.0022980293382376584
226147_s_at,CIN1,CIN2,1.0
226147_s_at,CIN1,CIN3,1.0
226147_s_at,CIN1,Cancer,0.010179377439515512
226147_s_at,CIN1,Normal,1.0
226147_s_at,CIN2,CIN3,1.0
226147_s_at,CIN2,Cancer,8.02211458326794e-06
226147_s_at,CIN2,Normal,1.0
226147_s_at,CIN3,Cancer,0.00010473930720221548
226147_s_at,CIN3,Normal,1.0
226147_s_at,Cancer,Normal,0.0007018299196186019
204623_at,CIN1,CIN2,1.0
204623_at,CIN1,CIN3,1.0
204623_at,CIN1,Cancer,0.0060436223989002325
204623_at,CIN1,Normal,1.0
204623_at,CIN2,CIN3,1.0
204623_at,CIN2,Cancer,0.000520892152551533
204623_at,CIN2,Normal,1.0
204623_at,CIN3,Cancer,0.002733296193180507
204623_at,CIN3,Normal,1.0
204623_at,Cancer,Normal,0.0001364702396596125
223720_at,CIN1,CIN2,1.0
223720_at,CIN1,CIN3,1.0
223720_at,CIN1,Cancer,0.0024737770539217043
223720_at,CIN1,Normal,1.0
223720_at,CIN2,CIN3,0.2505055983602635
223720_at,CIN2,Cancer,5.7733328574904106e-05
223720_at,CIN2,Normal,1.0
223720_at,CIN3,Cancer,0.04664343779727509
223720_at,CIN3,Normal,0.013612925931104343
223720_at,Cancer,Normal,4.2787876761510825e-07
229659_s_at,CIN1,CIN2,1.0
229659_s_at,CIN1,CIN3,1.0
229659_s_at,CIN1,Cancer,0.0008931700136191176
229659_s_at,CIN1,Normal,1.0
229659_s_at,CIN2,CIN3,1.0
229659_s_at,CIN2,Cancer,8.968583529367709e-06
229659_s_at,CIN2,Normal,1.0
229659_s_at,CIN3,Cancer,4.776157869124583e-05
229659_s_at,CIN3,Normal,1.0
229659_s_at,Cancer,Normal,0.0002879983848872803
202018_s_at,CIN1,CIN2,1.0
202018_s_at,CIN1,CIN3,1.0
202018_s_at,CIN1,Cancer,1.0
202018_s_at,CIN1,Normal,1.0
202018_s_at,CIN2,CIN3,1.0
202018_s_at,CIN2,Cancer,0.2835775051036017
202018_s_at,CIN2,Normal,0.6443586777803129
202018_s_at,CIN3,Cancer,0.10833867528359661
202018_s_at,CIN3,Normal,0.33465322522853064
202018_s_at,Cancer,Normal,1.0
212768_s_at,CIN1,CIN2,1.0
212768_s_at,CIN1,CIN3,1.0
212768_s_at,CIN1,Cancer,1.0
212768_s_at,CIN1,Normal,1.0
212768_s_at,CIN2,CIN3,0.5497390896632236
212768_s_at,CIN2,Cancer,0.011739516491319274
212768_s_at,CIN2,Normal,1.0
212768_s_at,CIN3,Cancer,0.9201390928322396
212768_s_at,CIN3,Normal,1.0
212768_s_at,Cancer,Normal,0.6982471131347491
213432_at,CIN1,CIN2,1.0
213432_at,CIN1,CIN3,1.0
213432_at,CIN1,Cancer,0.007820921753847524
213432_at,CIN1,Normal,1.0
213432_at,CIN2,CIN3,1.0
213432_at,CIN2,Cancer,7.556383527642166e-05
213432_at,CIN2,Normal,1.0
213432_at,CIN3,Cancer,0.00019581468970593575
213432_at,CIN3,Normal,1.0
213432_at,Cancer,Normal,0.00021966750546622505
207802_at,CIN1,CIN2,1.0
207802_at,CIN1,CIN3,1.0
207802_at,CIN1,Cancer,0.0006405948755325578
207802_at,CIN1,Normal,0.19910058955630922
207802_at,CIN2,CIN3,0.14231526149773502
207802_at,CIN2,Cancer,1.7840158648953013e-06
207802_at,CIN2,Normal,0.4072207052613979
207802_at,CIN3,Cancer,0.006849682314278206
207802_at,CIN3,Normal,1.1777068524901091e-05
207802_at,Cancer,Normal,5.557237256683889e-13
205979_at,CIN1,CIN2,1.0
205979_at,CIN1,CIN3,1.0
205979_at,CIN1,Cancer,0.020726144945295476
205979_at,CIN1,Normal,1.0
205979_at,CIN2,CIN3,1.0
205979_at,CIN2,Cancer,0.0004201214646327675
205979_at,CIN2,Normal,1.0
205979_at,CIN3,Cancer,0.005441115078585914
205979_at,CIN3,Normal,1.0
205979_at,Cancer,Normal,0.005345000541266361
224328_s_at,CIN1,CIN2,1.0
224328_s_at,CIN1,CIN3,1.0
224328_s_at,CIN1,Cancer,0.037998317724832184
224328_s_at,CIN1,Normal,1.0
224328_s_at,CIN2,CIN3,1.0
224328_s_at,CIN2,Cancer,0.003673542134345382
224328_s_at,CIN2,Normal,1.0
224328_s_at,CIN3,Cancer,0.051220239186934885
224328_s_at,CIN3,Normal,0.1998803559173999
224328_s_at,Cancer,Normal,3.500237543035441e-05
206642_at,CIN1,CIN2,1.0
206642_at,CIN1,CIN3,0.03454880529099845
206642_at,CIN1,Cancer,0.0072579337094388595
206642_at,CIN1,Normal,1.0
206642_at,CIN2,CIN3,1.0
206642_at,CIN2,Cancer,0.5244514268405963
206642_at,CIN2,Normal,1.0
206642_at,CIN3,Cancer,1.0
206642_at,CIN3,Normal,0.12398775323594072
206642_at,Cancer,Normal,0.02416024629526092
1560712_at,CIN1,CIN2,1.0
1560712_at,CIN1,CIN3,0.6994996598026525
1560712_at,CIN1,Cancer,0.0003113605794216023
1560712_at,CIN1,Normal,1.0
1560712_at,CIN2,CIN3,0.059125368233182325
1560712_at,CIN2,Cancer,7.681407414395347e-07
1560712_at,CIN2,Normal,1.0
1560712_at,CIN3,Cancer,0.011581193839428116
1560712_at,CIN3,Normal,0.02498690143847257
1560712_at,Cancer,Normal,1.3134919752376316e-07
220267_at,CIN1,CIN2,0.31111774135295645
220267_at,CIN1,CIN3,1.0
220267_at,CIN1,Cancer,0.7709946248197063
220267_at,CIN1,Normal,1.0
220267_at,CIN2,CIN3,1.0
220267_at,CIN2,Cancer,3.878660071187438e-05
220267_at,CIN2,Normal,1.0
220267_at,CIN3,Cancer,0.0008603633289004627
220267_at,CIN3,Normal,1.0
220267_at,Cancer,Normal,0.02136408368378955
217022_s_at,CIN1,CIN2,1.0
217022_s_at,CIN1,CIN3,1.0
217022_s_at,CIN1,Cancer,1.0
217022_s_at,CIN1,Normal,1.0
217022_s_at,CIN2,CIN3,1.0
217022_s_at,CIN2,Cancer,1.0
217022_s_at,CIN2,Normal,1.0
217022_s_at,CIN3,Cancer,1.0
217022_s_at,CIN3,Normal,1.0
217022_s_at,Cancer,Normal,1.0
220620_at,CIN1,CIN2,1.0
220620_at,CIN1,CIN3,1.0
220620_at,CIN1,Cancer,0.035916145950902145
220620_at,CIN1,Normal,1.0
220620_at,CIN2,CIN3,1.0
220620_at,CIN2,Cancer,0.10309762839355269
220620_at,CIN2,Normal,1.0
220620_at,CIN3,Cancer,0.7055323204584496
220620_at,CIN3,Normal,0.09812331578368347
220620_at,Cancer,Normal,0.0006368095100840719
213240_s_at,CIN1,CIN2,1.0
213240_s_at,CIN1,CIN3,0.10989916955807068
213240_s_at,CIN1,Cancer,4.762483862040988e-06
213240_s_at,CIN1,Normal,1.0
213240_s_at,CIN2,CIN3,1.0
213240_s_at,CIN2,Cancer,0.0004308363782823065
213240_s_at,CIN2,Normal,1.0
213240_s_at,CIN3,Cancer,0.004928460234022593
213240_s_at,CIN3,Normal,0.1305317306135757
213240_s_at,Cancer,Normal,7.019050350494862e-07
